"ID","Comment","Time","Author","Channel","Votes","Photo","Heart","Reply","Time_parsed"
"{cid: UgxwJdxsnQ9L3nmQXdd4AaABAg  "," Ich bin als Frau geboren, aber in meinem Kopf definiere ich mich ehr als neutraler Mensch. Ich belasse meinen von der Natur so gewollten Körper so wie er ist, weil ich nicht unnötig an mir rumexperimentieren lasse und sowas für \Gotteslästerung\ halte. Hätte Gott mich anders gewollt, hätte er/sie/es mich anders gemacht. Fertig. 😅  "," 5 days ago  "," @mir1246  "," UCbDyLq75yx2_ph_b4Fw2WYQ  "," 0  "," https://yt3.ggpht.com/ytc/AIdro_ncqiEyppsJrAFHnmKLTIwREj9-lMSg_TlInQ=s176-c-k-c0x00ffffff-no-rj  "," false  "," false  "," 1711724875.748871}"
"{cid: Ugw1xJdIhQRuEMffZ154AaABAg  "," Weiß Robin, denn z.B. dass der Arzt sich männlich fühlt, da Robin ihn ja so bennent, also als \den Arzt\.  "," 2 weeks ago (edited)  "," @veloziraptor36  "," UCv4eT9rjPsDyzLoVA-Oaiwg  "," 0  "," https://yt3.ggpht.com/DOEhtzIc-9a9a8XJgYHuLAAiNDVLR5NhZVWFDEZUh2y3Zc7yOGaAPuvw0-lBWJLyHmWYg-GWokI=s176-c-k-c0x00ffffff-no-rj  "," false  "," false  "," 1710947275.751305}"
"{cid: UgyGWWmtaHjCqKG2Urd4AaABAg  "," Es ist medizinisch schlicht unverantwortlich Menschen, die keine Geschlechtsdysphorie erleben und somit NICHT-trans sind, sondern sich selbst als \non-binär\ bezeichnen, einer geschlechtsangleichenden OP zuzuführen. Das ergibt alles keinen Sinn!  "," 3 weeks ago  "," @Jonimonsch  "," UCCYq4C-lxZQrOCv4pgWUAIA  "," 1  "," https://yt3.ggpht.com/ytc/AIdro_ltIu98QW9aVmbqVxBW_IQi0xR-vFgzH-Rl4Tsb2VD6G1NqCdIv6pqabuAAW4pBrhtoAw=s176-c-k-c0x00ffffff-no-rj  "," false  "," false  "," 1710342475.752841}"
"{cid: UgxnULPdLshZbYzPNvp4AaABAg  "," So etwas wie \Nichtbinäre Geschlechtsidentität\ gibt es schlicht nicht. Womit sich Robin nicht identifizieren kann/möchte sind spezifische soziale Geschlechterrollen. Völlig absurd wird es, wenn sich \nicht-binäre\ Menschen auf die gleiche Stufe stellen wie trans-Menschen.  "," 3 weeks ago  "," @Jonimonsch  "," UCCYq4C-lxZQrOCv4pgWUAIA  "," 1  "," https://yt3.ggpht.com/ytc/AIdro_ltIu98QW9aVmbqVxBW_IQi0xR-vFgzH-Rl4Tsb2VD6G1NqCdIv6pqabuAAW4pBrhtoAw=s176-c-k-c0x00ffffff-no-rj  "," false  "," false  "," 1710342475.754373}"
"{cid: Ugxju3Tqm62XtJAebBp4AaABAg  "," Hat er denn kein Geschlechtsteil? Man muss Mann oder Frau sein. Geht nicht anders. Hat Gott sich so ausgedacht und das ist gut so.  "," 3 weeks ago  "," @user-jf1xp3wv1m  "," UCJQGCoVUotaTyFNYyHaAAVQ  "," 0  "," https://yt3.ggpht.com/ytc/AIdro_mR4wme0MaLsrOS4nxhHhdLGy0w0Y93AMI6C78OzYGFzfVwRDTiqtOEGXAp6ZU4=s176-c-k-c0x00ffffff-no-rj  "," false  "," false  "," 1710342475.755877}"
"{cid: UgxUXv0n-z-PhsoR4tN4AaABAg  "," 1. Weibliche Gene, 2. Brust, 3. helle Stimme. ... Er sagt, er ist geschlechtslos, will aber ein Mann sein, nimmt Testosteron, will aber nicht als Mann betitelt m/gesehen werden. ... und beklagt sich darüber, dass die Menschen irritiert sind. 🤷🏻‍♀️ \nIch sehe das eher als psychisches Problem an. 🤷🏻‍♀️ \nWer keine Aufmerksamkeit haben möchte, geht auch nicht mit seiner privaten geschlechtlichen Problematik in die Öffentlichkeit, um alles auszubreiten.🤷🏻‍♀️  "," 4 weeks ago  "," @michaelaconrad7916  "," UCNIND2W1NsLhP6WMCaja28Q  "," 0  "," https://yt3.ggpht.com/ytc/AIdro_luKSGD-D-ZiZ-4Z8xEurg5yMUIPga4Lp6P00CKKw=s176-c-k-c0x00ffffff-no-rj  "," false  "," false  "," 1709741275.757419}"
"{cid: UgyCQzvZmEWref_sr3J4AaABAg  "," Er möchte Robin heissen, als Mann angesehen werden, hat sich die Brüste entfernen lassen, nimmt Hormone damit er männlich wird (Haare, Bartwuchs, Stimme etc) ABER sieht sich nicht als Mann.... DAS verstehe jetzt mal Jemand.... Also bei allem Respekt, es gibt Grenzen. Und in dem Fall finde ich, wirkt es eher so, dass er unbedingt Aufmerksamkeit möchte. Soll er sich freuen, dass er nun endlich in dem Körper lebt den er haben wollte. Einen MÄNNLICHEN. Natürlich kann er kein biologischer Mann werden. Das ist schlicht nicht möglich. Aber er kann männlich aussehen und gesellschaftlich so angesehen werden. Sollte reichen. Man kann es auch übertreiben mit dem Thema...  "," 1 month ago  "," @criminalcalamari  "," UCCSCkgFOX-lWa2RxNo72gFQ  "," 0  "," https://yt3.ggpht.com/JVF4ahnhzpniT6FPlO2B2mY3GuJMTNz5bBRxsCzMCjia11bViQLcwXwmLbG31ldn5Vw920-N=s176-c-k-c0x00ffffff-no-rj  "," false  "," false  "," 1709482075.760322}"
"{cid: UgyXLNlejBfsGNqcmnh4AaABAg  "," was wurde in der Erziehung nur falsch gemacht... nicht dein Geschlecht, welches dir zugewiesen wurde, ist falsch, sondern deine Gedanken und Gefühle...keiner kann mir erzählen, dass das normal ist.  "," 2 months ago  "," @totekuh123  "," UC6X38QEW4UFoBLVS45LyBDw  "," 0  "," https://yt3.ggpht.com/ytc/AIdro_lYP8GbCjmdAYY4eIReQyw-jTOfzop7qy94nkRbF40=s176-c-k-c0x00ffffff-no-rj  "," false  "," false  "," 1706976475.762391}"
"{cid: UgwnYxOCD4pubAmM06h4AaABAg  "," İch bin eine Frau und das ist so wundervoll ❤ danke lieber Gott das ich das nicht erleben muss.  "," 2 months ago  "," @figenaydogan5182  "," UCDoVrpmuL5p-NgHnvvcCowQ  "," 1  "," https://yt3.ggpht.com/ytc/AIdro_kL1aqGZv1Z8WlkBOev_exUx8pzzbHuIKNCuA=s176-c-k-c0x00ffffff-no-rj  "," false  "," false  "," 1706976475.764281}"
"{cid: UgyaFnA5W-a_Vw1buxd4AaABAg  "," Wichtig wäre eine psychologische Begleitung, finde ich … um zu lernen sich wohlzufühlen …  "," 2 months ago  "," @Binko45  "," UCM2661f7_hg8elwACUwlYqQ  "," 2  "," https://yt3.ggpht.com/5JRmbRkcyKcC-NVGJBCm9ZjLUiEjgcx7P7x2qwwVQ8czNm9HmwuOfNvMF8VoLRdc5rRE6Svx-xI=s176-c-k-c0x00ffffff-no-rj  "," false  "," false  "," 1706976475.766161}"
