"ID","Comment","Time","Author","Channel","Votes","Photo","Heart","Reply","Time_parsed"
"{cid: UgzSd2u_Hiq9CtCfQzR4AaABAg  "," Er kann sich um basteln lassen  so oft er will , aber bitte auf eigene Kosten . Wäre ja noch schöner wenn die Krankenkasse so ein scheiß bezahlen würde .  "," 2 weeks ago  "," @angelaAndy  "," UClIMOZHPUVVOTUMTcyJRVJw  "," 0  "," https://yt3.ggpht.com/jxllMbMSMzB_9dMvLcPRZX7Dekl9ICsbOxLbFqfZxwBkIp1JyBUz2yK5kOgXwTI29AugGniY1w=s176-c-k-c0x00ffffff-no-rj  "," false  "," false  "," 1710966030.683357}"
"{cid: Ugx2if8MjQexXusfMhl4AaABAg  "," Zeig mir bitte ein einziges Mädchen, das sich am Anfang der Pubertät, mit den wachsenden brüsten wohlfühlt !  "," 2 weeks ago  "," @claudiabohle7119  "," UC1yBkSlIhNgxaTGowWE3mKw  "," 1  "," https://yt3.ggpht.com/ytc/AIdro_nLrQNBC0Y-kz16nCZN3vmOoAhuFwUIyrkPrhjHYsyaWU_n0iuTW3ifkOzLip_A=s176-c-k-c0x00ffffff-no-rj  "," false  "," false  "," 1710966030.685865}"
"{cid: UgyvTy894ECK-TEOZsF4AaABAg  "," Aber so wie du dich definierst ,bist du was besonderes. Damit steckst du dich selbst in ne Schublade!  "," 2 weeks ago  "," @claudiabohle7119  "," UC1yBkSlIhNgxaTGowWE3mKw  "," 0  "," https://yt3.ggpht.com/ytc/AIdro_nLrQNBC0Y-kz16nCZN3vmOoAhuFwUIyrkPrhjHYsyaWU_n0iuTW3ifkOzLip_A=s176-c-k-c0x00ffffff-no-rj  "," false  "," false  "," 1710966030.687405}"
"{cid: UgwV_VfYYnNCmVXgAh54AaABAg  "," Sondern ?  "," 1 month ago  "," @claudiabohle7119  "," UC1yBkSlIhNgxaTGowWE3mKw  "," 0  "," https://yt3.ggpht.com/ytc/AIdro_nLrQNBC0Y-kz16nCZN3vmOoAhuFwUIyrkPrhjHYsyaWU_n0iuTW3ifkOzLip_A=s176-c-k-c0x00ffffff-no-rj  "," false  "," false  "," 1709500830.690025}"
"{cid: UgyC7xPiJX3XPv2cKlR4AaABAg  "," Hier sind so gute Kommentare, sehr interessant. Ich finde es auch ein sehr kompliziertes Thema, weils auch oft einen negativen Beigeschmack hat. Es wirkt auf mich so, als wären Binäre und Nonbinäre Personen so gegeneinander. Man kann’s ad jeweils andere schwer nachvollziehen, wenn das falsche Pronomen verwendet wird, habe ich das Gefühl sind viele Menschen direkt sauer. Ich kann das schlecht in Worte formulieren wie ich das meine. Es ist unglaublich schwer sich zu verstehen. Binär - nichtbinär. Ich denke und kann für mich sprechen, dass einfach das Thema so groß gemacht wird dass man dadurch einfach etwas sauer wird bei dem Thema. Aber auch weils so emotionsgeladen ist und schwer einander nachvollziehen zu können.  "," 3 months ago  "," @leonierebeccafranziska  "," UC1uX1VOt0iySBM7nqvN4Oeg  "," 0  "," https://yt3.ggpht.com/lHSYxisunKMeAr_S9KH4FHu4knXrJFfE7faAy-gZlmtBCJoFJBdGOV5ZFBSMJunvvbEi2_zq=s176-c-k-c0x00ffffff-no-rj  "," false  "," false  "," 1704316830.692104}"
"{cid: UgxTP4P1ycJvSa-ETHV4AaABAg  "," Ich hab dazu folgende Frage: Bezahlt das die Krankenkasse?\n\nWenn nein, habe ich keine weiteren Fragen, nichts dran auszusetzen (die scheinen ja beide volljährig zu sein) und wünsche noch ein schönes Leben.\n\nWenn ja: Womit rechtfertigen wir es, dass nicht jeder, der einfach nur hässlich ist, und daraus eine körperbezogene Dysphorie (und aus dem heraus noch Begleitdiagnosen wie eine major depression oder Angststörung) entwickelt, plastische Chirurgie auf Kosten der Allgemeinheit geniessen darf, bis er sich in seinem Körper wohl fühlt?\n\nNachdem ich 13 Jahre lang die verschiedensten jungen Leute in der Schule gesehen habe, kann ich behaupten, dass rund 10% davon so hässlich sind, dass ich vermutlich Depressionen hätte, wenn ich so aussehen würde. Kriegen die jetzt alle eine Body-Modification auf Kosten von allen, wenn ihnen ihr Aussehen auf die Psyche schlägt?\n\nOder warum überhaupt hässlich? Es könnte doch schon weniger reichen. Wenn ich morgen meinem Psychiater glaubhaft erzähle, dass ich mit meinen 1,73m Körpergrösse zutiefst unglücklich bin (ob das nun die Wahrheit ist, oder ob ich masslos übertreibe, um zu kriegen, was ich will, kann mir ja keiner nachweisen) und ich ihm das darüber hinaus konsequent über Jahre hinweg wieder erzähle, verschreibt der mir dann so eine Operation, bei der meine Beine länger gemacht werden, und die Gesellschaft kommt für die Kosten (ca. 75'000 Euro) auf? Vielleicht identifiziere ich mich ja als 1,80m.\n\nSollte ich demnächst fetter werden, als es mir beliebt, und dadurch eine psychische Krise haben, bekomme ich dann eine Fettabsaugung geschenkt? Und wenn ich danach wieder fett werde, kriege ich dann noch eine?\n\nWo ist die Grenze? Und wenn das alles gedeckt sein soll, wo kriegen wir die ganzen Chirurgen her und wie bezahlen wir das alles? Erhöhen wir die monatliche Prämie für die Krankenkasse auf 1000 Euro?  "," 6 months ago  "," @PoliWarder  "," UCjhieC4aVak652TvuRnpYzA  "," 1  "," https://yt3.ggpht.com/ytc/AIdro_lAYG2OIgLwr4_dC0KrMC2SEMdDwWyJULu8Pqu2eX3Pu_s=s176-c-k-c0x00ffffff-no-rj  "," false  "," false  "," 1696364430.694102}"
"{cid: Ugyfy7vzTmqK6eC5xil4AaABAg  "," NEiiiiiiiiiiN! Noch ein Mensch der sich trans nennt! Transmenschen LEIDEN an ihrer Dysohorie und möchten unbedingt als das Geschlecht wahrgenommen werden als das sie leider nicht geboren wurden. Transmenschen sind explizit feminin oder maskulin. Cato ist nun, wie sie es schon sagte trans-intersexuell. Also jemand der sich zu einem Zwitter umoperieren und hormonell behandeln ließ. Warum Zwitter gerade so trendet obwohl der biologische Anteil bei ca. 0,02% liegt, keine Ahnung!  "," 6 months ago  "," @Takatukata  "," UCORemuLKISN3iEyZDQSRx6w  "," 1  "," https://yt3.ggpht.com/sp_VOr7U0eyBHt0CY7BuZrvfOXApCPciAoSa-MDDd2VpNeuqtGwlQLGBkjPQKBP0Zy_oXo8wGg=s176-c-k-c0x00ffffff-no-rj  "," false  "," false  "," 1696364430.69619}"
"{cid: UgwvqEjCbPNVdH2npXh4AaABAg  "," Der Grund warum ich das kritisch sehe:\nViele Mädels die sich als \non binary\ sehen, schneiden sich ihre Haare, ab ziehen sich männlich an und schminken sich nicht\nDenken dann irgendwie sie seien anders, was besseres, weil typisch feminin zu sein als was schlechtes gesehen wird in der Gesellschaft (einfach total frauenfeindlich) dieses \ich bin was besseres und was anderes weil ich kein typisches Mädchen bin\ und \ich kann gar keine Frau sein weil ich mich nicht schminke usw  ich bin eine special snowflake\  "," 7 months ago  "," @ireneaguar589  "," UCfy57wy-HTvultg_2YLwhVQ  "," 0  "," https://yt3.ggpht.com/ytc/AIdro_l01BbL5lABX-SbH32JPbtxYFTw0q_8IG6OWmxVRCh7FG4ikXjaFwgCw3dicMdaW20FGg=s176-c-k-c0x00ffffff-no-rj  "," false  "," false",NA
" time_parsed: 1693772430.698277}         ",NA,NA,NA,NA,NA,NA,NA,NA,NA
"{cid: UgwFto-pr3Bh617lJv54AaABAg  "," 4:22 - \erklärt doch mal in den kommentaren warum das son großes ding für euch ist\ \n\nOkay, also es ist für mich insofern ein großes ding, da es haufenweise nicht-binäre oder genderfluide personen gibt, die für mehr sichtbarkeit und aktzeptanz von nicht-binären personen kämpfen und versuchen darüber aufzuklären. Aber wirklich immer blieben die erklärungsversuche bei einem \ich fühl mich halt so\. Wie kann es sein, dass eine gruppe von menschen, für die dieses konzept der geschlechtsidentität eine so elementare rolle im leben einnimmt, dass manche sogar einen nervenzusammenbruch kriegen, wenn man keine fantasiepronomen benutzt und ihnen damit ihre geschlechtsidentität bestätigt, allesamt nicht erklären können, was es bedeutet sich männlich oder weiblich zu fühlen. \nVon Mode einmal abgesehen, was macht eine geschlechtsidentität weiblich oder männlich?? Das ist etwas, über das alle in dieser bubble reden, als wäre es halt selbsterklärend und offensichtlich. \nUnd natürlich wird dann gesagt, dass man niemandem seine geschlechtsidentität erklären muss oder so. Und das stimmt natürlich. Aber es ist nunmal so, dass dieses konzept der geschlechtsidentität, von dem wir nicht mehr wissen, als dass es auf irgendwelchen rollenerwartungen aufbaut, den meisten nunmal absolut fremd ist. Kann natürlich auch so bleiben, wenn ihr sagt, ihr wollt euch nicht erklären müssen. \nAber zu sagen: \nGeschlecht definiert sich jetzt anders. \nWie genau brauchst du nicht zu verstehen. \nDu sollst es lediglich zeigen, dass du aktzeptierst, dass es jetzt so ist. (Bspw durch das nutzen von pronomen)\nFührt natürlich irgendwann zu problemen. Ihr könnt verlangen, dass ihr gleich behandelt werdet, wie die anderen menschen auch, also dass ihr keiner queerfeindlichen gewalt ausgesetzt werdet. \nAber ihr könnt nicht von den anderen menschen erwarten, dass sie euch aktiv zustimmen und eure geschlechtsidentität betonen, obwohl dies nach wie vor etwas ist, von dem man behauptet, dass dieses konzept nicht alle verstehen müssen. Wie kann ich deine geschlechtsidentität bestätigen, wenn ich nicht weiß, was du meinst. \nWas von mode abgesehen macht denn Geschlecht aus?? \nWahrscheinlich ja noch deutlich mehr, wenn einem das thema so viel bedeutet. Und da stellt sich halt wirklich die frage was genau. \nWenn bspw eine nichtbinäre person sich weder mit dem weiblichen geschlecht, noch mit dem männlichen geschlecht identifiziert, dies aber, nur einmal angenommen, aus internalisierten sexismus in beide richtungen resultiert, und du bspw der meinung bist, dass frauen naiv und strategisch sowie körperlich schwach, und männer gewissenlos, gewalttätig und durchweg egoistisch und gierig sind, dann wäre das letzte was ich wollen würde, diese weltsicht, die ursprung für deine in diesem fall durchaus nachvollziehbare gender dysphoria ist, mit dem benutzen eines pronomens für dein fluchtlabel zu bestätigen. \nUnd nein, ich glaube nicht wirklich, dass catho so denkt. \nEs ist halt einfach nur ein extrembeispiel, das darstellen soll, dass wir uns halt ernsthaft gedanken machen, was das für rollenbilder sind, aus denen ihr eure geschlechter aufbaut. Natürlich seid ihr niemanden irgendeine erklärung schuldig, und viele, vielleicht die meisten, haben kein problem damit für euch bestimmte pronomen zu benutzen, euch in frauenklos zu lassen oder so. \nAber dennoch ist das bestätigen eurer geschlechtsidentiät bei derzeitiger definition nicht einfach nur die bestätigung eures geschlechts. Es ist die bestätigung einer weltsicht. Einer weltsicht in der frauen so sind, und männer so. \nSofern immer noch nicht klar ist, wie diese weltsicht in bezug auf geschlechterrollen eigentlich aussieht, wird es nunmal immer ein mehr oder weniger großen prozentsatz von leuten geben, denen ziemlich unbehaglich zumute wird, einer völlig unbekannten weltanschauung beizupflichten.  "," 7 months ago  "," @vornamenachname1054  "," UC9qqee_djcqorHLbwSrtAWw  "," 0  "," https://yt3.ggpht.com/ytc/AIdro_kIy8FGcgaupQ6mu0LDhdWXdr6oK8jSPGWz9M2UIVSFR1FxxZ5_8Mvzu-ozESDW9xtLWw=s176-c-k-c0x00ffffff-no-rj  "," false  "," false  "," 1693772430.700256}"
