"ID","Comment","Time","Author","Channel","Votes","Photo","Heart","Reply","Time_parsed"
"{cid: UgxXcqziPaKEL0Pllwx4AaABAg  "," das ist ja das ganze ihre das man sich aufregt was andere für Pronomen verwenden wenn sie mit anderen über einen reden  "," 3 months ago  "," @Petran892  "," UCM0D1UH6ei2yxHsQFYA_usA  "," 0  "," https://yt3.ggpht.com/ytc/AIdro_mem1He2jN2ExsebCKxA16L5SfLc_EdGaCl6Q=s176-c-k-c0x00ffffff-no-rj  "," false  "," false  "," 1704297946.509453}"
"{cid: UgylFaRPbzXSL_H5HO54AaABAg  "," Was ist das für eine Musik im Hintergrund? /gen  "," 9 months ago  "," @hackidreemurr  "," UCcf2jfshNeYf3Ygfoi1CkYw  "," 0  "," https://yt3.ggpht.com/WggYCbyWI_oaSzWHdaVjH_az43ISnk09NbAMDIxfjms8mf5TabVJMMVl_Xz425TMpQwWHg7US60=s176-c-k-c0x00ffffff-no-rj  "," false  "," false  "," 1688396746.511753}"
"{cid: UgzDKwgyqA_LexUdujN4AaABAg  "," Danke für dein Video, Kora!! ☺️💗 Ich mag es wie du es verständlich erklärst und auch die Stimmung im Video ist sehr entspannt. Ich selbst bin nicht-binär und verwende they/ihre Pronomen, also auch so ein Mischset. Bspw.: Hacki geht heute einkaufen. Dafür fährt they in den Supermarkt, hat jedoch ihre Einkaufstasche zuhause vergessen und deswegen gab ihr die Verkäuferin eine Plastiktüte und they muss 10 Cent für die Tüte zahlen  "," 9 months ago (edited)  "," @hackidreemurr  "," UCcf2jfshNeYf3Ygfoi1CkYw  "," 1  "," https://yt3.ggpht.com/WggYCbyWI_oaSzWHdaVjH_az43ISnk09NbAMDIxfjms8mf5TabVJMMVl_Xz425TMpQwWHg7US60=s176-c-k-c0x00ffffff-no-rj  "," false  "," false  "," 1688396746.513842}"
"{cid: UgxIcj0FUcVJ-DZ2iEd4AaABAg  "," Ich benutze she/they, aber weiß nicht, wie ich das auf deutsch jetzt lösen soll...  "," 11 months ago  "," @torquoiseangelfox  "," UC1PtC61FBqVcq7ETHVpGr4A  "," 0  "," https://yt3.ggpht.com/MkNESvtEdfq1lAhEsw_fY2N2z6gjn15H0ejZYel1b8KbdAw1rUishokAPeNQuxerfh5nVObSA2E=s176-c-k-c0x00ffffff-no-rj  "," false  "," false  "," 1683126346.515934}"
"{cid: UgwjELeDC6f-ATy0I3B4AaABAg  "," Ist zwar inzwischen 4 Monate alt, aber finde es echt gut. Mega dank dir :D  "," 1 year ago  "," @Soulowl4u  "," UCro9lEOfKVaHHmVQYkczvaA  "," 1  "," https://yt3.ggpht.com/Z9LrySWwC_2vRuOV02h2XkTcq9rvhKtJrU-f4u5Ie_4SbshDpziByU1lNfYVDesOKi6sl518IgI=s176-c-k-c0x00ffffff-no-rj  "," false  "," false  "," 1680534346.517469}"
"{cid: UgwZyXzmpMwt2OsEtFt4AaABAg  "," Algo pushender Support Kommentar für wertvolle und viel zu wenig appreciatete Aufklärungsarbeit ✨  "," 1 year ago  "," @lisabumble93  "," UCgVjpO5mHZIouxpZoxrz-9w  "," 3  "," https://yt3.ggpht.com/3P-OZeY7FXIMQ_Pmx3eye3Ml-ndVJGmjqDl2ggjNSoNhAKv60hkgNEelKn9Aiek2wirwg86WQkY=s176-c-k-c0x00ffffff-no-rj  "," true  "," false  "," 1680534346.518919}"
"{cid: UgxV6qH69P5ToLaex4x4AaABAg  "," Boah hab ich mich am Anfang erstmal erschreckt xD Für mich schon sehr früh der wichtigste Punkt: Es ist nicht so schwer wie es immer dargestellt wird. EInfach eine Frage des Willens und Respekts gegenüber anderen Personen. Vielen Dank für das Video :)  "," 1 year ago  "," @Lilischote  "," UCpIvbjXjb6VxRqWA4Zo99ZQ  "," 4  "," https://yt3.ggpht.com/OKQEABiSd9kzBDG1RzQSEElBi2KM8DZ5cONfvzXQpqnf14t9vodyjghTShgXmIDwuUPLQXmN1w=s176-c-k-c0x00ffffff-no-rj  "," true  "," false  "," 1680534346.520391}"
"{cid: UgyQiGWfa6iymlW9qg94AaABAg  "," Mentale Probleme hast du  "," 1 year ago  "," @JonnyK595  "," UCxjqn8iqmAKAXxYZfiWLOWg  "," 0  "," https://yt3.ggpht.com/ytc/AIdro_kJk5-TUqmS9GqNYGa8mePoDnit76YkCzlPiPtvGquMKzE=s176-c-k-c0x00ffffff-no-rj  "," false  "," false  "," 1680534346.521876}"
"{cid: UgzbKmw7p1OuvhcdjN54AaABAg  "," ich bin Cis-Mann, was kann ich dagegen tun?  "," 1 year ago  "," @TimBuktu666  "," UCO7HLp_SAEhb1vq397hlGOQ  "," 3  "," https://yt3.ggpht.com/ytc/AIdro_n633UFGUpzCi4f3OVmAh6fby2HThAFHI-Olta-aZZjGlnkhUpi1wPGG1-YFqg2vnKy2g=s176-c-k-c0x00ffffff-no-rj  "," false  "," false  "," 1680534346.523341}"
"{cid: UgyfWOFSDsSEX57h_fZ4AaABAg  "," *Meine Pronomen sind \she/he/they\ und ich bin tatsächlich \Nicht Binär\ (noch)... 🙈🤯👽👻🥰🐇💁🏻‍♀️  "," 1 year ago  "," @alicegothqueen1701  "," UCEKY1m2C_HUv4hj4Wj1Wemg  "," 1  "," https://yt3.ggpht.com/cMraEWN9nINWdGOG_nRaWDYPwzFhSFoGSkQ_VzcOaz53CeTx_WLCPPBuXOR1tpuUHx52dVVpEQ=s176-c-k-c0x00ffffff-no-rj  "," false  "," false  "," 1680534346.524829}"
