"ID","Comment","Time","Author","Channel","Votes","Photo","Heart","Reply","Time_parsed"
"{cid: UgwZvHt5r2mC5O7if2F4AaABAg  "," ❤❤❤  "," 8 hours ago  "," @NineWunderland  "," UCHquBkUnf_ewnqMTkV5xCYA  "," 0  "," https://yt3.ggpht.com/YnTsihjY4x-52np5MxDQk8VnztiIGRAbX46gTCOsSht7Ea1__gy_ZSkTDfb4t7ZIQoVV0vd0qzs=s176-c-k-c0x00ffffff-no-rj  "," false  "," false  "," 1712127712.426852}"
"{cid: UgyBtpHBnrqYMrO-S-R4AaABAg  "," Warum sprechen sie englisch? sprich bitte deutsch  ! 🤦  "," 13 hours ago  "," @ChristianityAndIslam  "," UC6zjVq4rKmRSbmSo2gu5sZw  "," 0  "," https://yt3.ggpht.com/SJAId4gpv9aD2Qkj3VwxPRpLNuORe-_4C-HFc8DuIqKKtyGEGLfbrVN0cCkCHSMQ5-GFa4Rf3Q=s176-c-k-c0x00ffffff-no-rj  "," false  "," false  "," 1712109712.429263}"
"{cid: UgygT4loupNvk8A8bT14AaABAg  "," Wir (also die aller, aller, alllllllllllermeisten) Menschen in DE haben keinen Bock auf Eurem woken Scheiß der sich unentwegt nur um Euch selber dreht, und andere auch noch exkludiert (hauptsache die eigenen Leute werden inkludiert oder wie). Alles soll sich um eine Minderheit drehen!? So funktioniert Demokratie aber nicht!!! Oder lehnt ihr diese gleich mit ab???  "," 7 days ago  "," @solargermany1268  "," UCHg4GR73gX-voIul-lucPSA  "," 1  "," https://yt3.ggpht.com/HKB9v1Qh8cFl4sJvwdRa_bxfuwwz6KXG_DLXD20NX2ZOgNGm6VzuNuFfuEwZNpJfS-D2MPDORSc=s176-c-k-c0x00ffffff-no-rj  "," false  "," false  "," 1711551712.43074}"
"{cid: UgwAek1vzCaFDl2uhh94AaABAg  "," Ich finde es sehr interessant wie viele Pronomen Gegner hier in den Kommentaren sind und es als hobbylos und keine größeren Probleme sehen, aber selbst sich ganze Vieos dazu angucken und sogar noch Zeit finden zum kommentieren. Wenn ihr es nicht toll findet dann lasst die Menschen mit anderer Ansicht doch einfach in Ruhe? Und so viele die davon sprechen das niemand im Alltag Pronomen so nutzt - Wo ist dann das Problem für euch? Die ganzen Kommentare über \aber die Mehrheit\ hängen mir zum Hals raus. Es geht darum auch auf Minderheiten einzugehen und mehr Bewusstsein zu schaffen. Es stimmt das dieses Format leider nicht wirklich aufklärt was bei der ganzen Feindseligkeit vielleicht garnicht mal so schlecht wäre. Aber bei Gott sucht euch selbst ein Leben und hört verdammt nochmal auf Menschen zu piesacken die als Intention nur gutes für ihre Mitmenschen meinen die unter dem binären (und medizinisch längst wiederlegten) Geschlechtskonstrukt unserer Gesellschaft leiden. Und Sprache ist ein sehr mächtiges Werkzeug. Also entweder ihr schaltet einfach den verdammten Sender um oder macht euch Ärger über 'wahre Probleme' und nicht etwas für euch angeblich so unwichtiges. Dieses Video sollte ein Safe Space für genderqueere Menschen sein, stattdessen wird mir übel beim lesen all dieser Kommentare.  "," 9 days ago (edited)  "," @tessam3612  "," UCSSG7FN6XGMeTLs2jKXagGw  "," 0  "," https://yt3.ggpht.com/Dv7nK61ad0cRMGHUE5Tgqj3ou_DDAmK138EFfzFSlbxtLc642M4etURi67uepy-_Ocdh5oeeFw=s176-c-k-c0x00ffffff-no-rj  "," false  "," false  "," 1711378912.432213}"
"{cid: UgzocJTC4IY5DJpX1MJ4AaABAg  "," Bin \Er_file\ schade das soviele Menschen damit nicht klarkommen und mit Hass reagieren  "," 12 days ago  "," @jansteini9612  "," UCzGZ_iaQIDNqt4TWFFDKX9w  "," 0  "," https://yt3.ggpht.com/ytc/AIdro_lWRLqrQ0a21iPpDzTo9GFIX4v6-ImG8lSVag=s176-c-k-c0x00ffffff-no-rj  "," false  "," false  "," 1711119712.433711}"
"{cid: Ugydx5vK4U77ObbahhJ4AaABAg  "," Schade um die 18,36€ monatlich!  "," 2 weeks ago  "," @Yggdrasil-22  "," UC5Ov2sfSqOU_BQQYdKWx_9A  "," 2  "," https://yt3.ggpht.com/uai-Nt21nYLyu33I5_xJVk-_H5thlO3RrKqRUVEiy9ebvUgKhRwqFHD_iDbYJrXnhgu-ZIHEBcE=s176-c-k-c0x00ffffff-no-rj  "," false  "," false  "," 1710946912.435206}"
"{cid: Ugz3XMlOgMbcBy1q6Px4AaABAg  "," Einfach nur Kaputt  "," 2 weeks ago  "," @wiilywacker1298  "," UC_jNv768RLFzNrJCKgZX0_g  "," 2  "," https://yt3.ggpht.com/ytc/AIdro_l1Rp9UtUqtyhBwCoscMVLv4xA9husEG42KGw=s176-c-k-c0x00ffffff-no-rj  "," false  "," false  "," 1710946912.436739}"
"{cid: Ugx9kVaJahYoFtgaK0p4AaABAg  "," Weniger den Fokus auf das Geschlecht legen, sondern auf den Menschen dahinter! Pronomen lösen auch keinen Sexismus oder die fehlende Gleichberechtigung der Geschlechter  "," 2 weeks ago  "," @KH-tr5ox  "," UCbXhg1EDVVf7FxELj0Aqi4g  "," 0  "," https://yt3.ggpht.com/ytc/AIdro_mK2zMgC6IIGkKsKPaalUyLKNn1aOrw2C5rsQ=s176-c-k-c0x00ffffff-no-rj  "," false  "," false  "," 1710946912.438334}"
"{cid: UgxPW_70ege7MoYvjUd4AaABAg  "," first world problems.......  "," 2 weeks ago  "," @Nogelin  "," UCqSHSEWNBePDAi4gDemenJQ  "," 1  "," https://yt3.ggpht.com/ytc/AIdro_nxeGQ-Y4NS-3QCFYIfOPqQa_8KzclBt0xQO7TFtUQFIzJUKrnfKrhamN08iCCK=s176-c-k-c0x00ffffff-no-rj  "," false  "," false  "," 1710946912.439828}"
"{cid: UgwoT78BER1pbf3R1NV4AaABAg  "," 1:12 lol geile Stelzen  "," 2 weeks ago  "," @LarsHafendorfer  "," UCv5zYAi0ElJQVOmLeP-Kpjg  "," 0  "," https://yt3.ggpht.com/ytc/AIdro_lTVeac9TBBd07-AHzhpJtJaLgoqVGs9xKCtVA_W9cscirrK8ltE9feTCBKXtWrgp2aHQ=s176-c-k-c0x00ffffff-no-rj  "," false  "," false  "," 1710946912.441401}"
